Company Name,Location,Industry,Founded,Headquarters,CEO,Employees Number
DISH Network,"Englewood, Colorado",Media,1980,"Englewood, Colorado",W. Erik Carlson,"14,500"
Fujifilm Holdings,"Tokyo, Japan",Consumer Durables,1934,Tokyo,Teiichi Goto,"73,275"
Erste Group Bank,"Vienna, Austria",Banking,2008,Vienna,Bernhard Spalt,"44,596"
Lam Research,"Fremont, California","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1980,"Fremont, California",Tim Archer,"12,000"
Carrier Global,"Palm Beach Gardens, Florida",Capital Goods,"Palm Beach Gardens, Florida",United States,"58,000",
Intuit,"Mountain View, California","IT, Internet, Software & Services",1983,"Mountain View, California",Sasan Goodarzi,"13,500"
Lincoln National,"Radnor, Pennsylvania",Insurance,1968,"Radnor, Pennsylvania",Dennis R. Glass,"10,848"
Sherwin-Williams,"Cleveland, Ohio","Engineering, Manufacturing",1866,"Cleveland, Ohio",John G. Morikis,"48,068"
Aviva,"London, United Kingdom",Insurance,1990,London,Amanda Blanc,"22,062"
Vonovia,"Bochum, Germany",Construction,1998,Bochum,Rolf Buch,"15,871"
Fast Retailing,"Yamaguchi, Japan",Retailing,1963,Yamaguchi,Tadashi Yanai,"55,589"
London Stock Exchange,"London, United Kingdom",Diversified Financials,1802,London,David Adam Schwimmer,"23,261"
Shaanxi Coal Industry,"Xi'an, China",Materials,2008,Xi'an,Shi Bin Wang,"36,344"
Lenovo Group,"Hong Kong, Hong Kong",Technology Hardware & Equipment,1984,Hong Kong,Yuan Qing Yang,"71,500"
Mitsui Fudosan,"Tokyo, Japan",Construction,1941,Tokyo,"Hiromichi Iwasa, Masanobu Komoda","23,992"
Komatsu,"Tokyo, Japan",Capital Goods,1921,Tokyo,Hiroyuki Ogawa,"61,564"
Femsa,"Monterrey, Mexico","Food, Drink & Tobacco",1890,Monterrey,Daniel Alberto Rodríguez Cofré,"320,752"
Bank Mandiri,"Jakarta, Indonesia",Banking,1824,Jakarta,Darmawan Junaidi,"37,840"
Pernod Ricard,"Paris, France","Food, Drink & Tobacco",1975,Paris,Alexandre Ricard,"18,306"
Evergreen Marine Corp. (Taiwan),"Taipei, Taiwan",Transportation,Taipei,Taiwan,,
Consolidated Edison,"New York, New York",Utilities,1823,"New York, New York",Timothy P. Cawley,"13,871"
Paccar,"Bellevue, Washington",Automotive (Automotive and Suppliers),1972,"Bellevue, Washington",Preston Feight,"10,545"
NTPC,"New Delhi, India",Utilities,1975,New Delhi,Gurdeep Singh,"119,383"
TAQA,"Abu Dhabi, United Arab Emirates",Utilities,2005,Abu Dhabi,Jasim Husain Ahmed Thabet,
Maybank,"Kuala Lumpur, Malaysia",Banking,1959,Kuala Lumpur,Khairussaleh Ramli,"42,000"
Hana Financial Group,"Seoul, South Korea",Banking,1971,Seoul,Jung-Tai Kim,128
Hyundai Mobis,"Seoul, South Korea",Capital Goods,1977,Seoul,Eui-Sun Chung,"10,835"
Nintendo,"Kyoto, Japan",Consumer Durables,1889,Kyoto,Shuntaro Furukawa,"6,574"
CME Group,"Chicago, Illinois",Diversified Financials,1898,"Chicago, Illinois",Terrence A. Duffy,"3,480"
Vodafone,"Newbury, United Kingdom",Telecommunications Services,1984,Newbury,Nicholas Jonathan Read,"105,000"
Talanx,"Hannover, Germany",Insurance,1990,Hannover,Torsten Leue,"23,954"
DSV Panalpina,"Hedehusene, Denmark",Transportation,1976,Hedehusene,Jens Bjørn Andersen,"77,958"
Surgutneftegas,"Surgut, Russia",Oil & Gas Operations,1990,Surgut,Vladimir Leonidovich Bogdanov,"116,000"
SEB AB,"Stockholm, Sweden",Banking,1972,Stockholm,Johan Torgeby,"15,500"
New China Life Insurance,"Beijing, China",Insurance,1996,Beijing,Quan Li,"34,434"
Barrick Gold,"Toronto, Canada",Materials,1983,Toronto,Dennis Mark Bristow,"21,869"
Fujitsu,"Tokyo, Japan",Technology Hardware & Equipment,1935,Tokyo,Takahito Tokita,"126,371"
Carrefour,"Boulogne-Billancourt, France",Food Markets,1959,Boulogne-Billancourt,Alexandre Bompard,"321,000"
FirstRand,"Johannesburg, South Africa",Diversified Financials,1966,Johannesburg,Alan Patrick Pullinger,"47,771"
Emirates NBD,"Dubai, United Arab Emirates",Banking,1963,Dubai,Shayne Kieth Nelson,"9,825"
China National Building,"Beijing, China",Construction,2005,Beijing,Zhi Ping Song,"153,109"
Daiwa House Industry,"Osaka, Japan",Construction,1947,Osaka,Keiichi Yoshii,"48,807"
Fifth Third Bank,"Cincinnati, Ohio",Banking and Financial Services,1858,"Cincinnati, Ohio",Greg D. Carmichael,"19,112"
Bridgestone,"Tokyo, Japan",Automotive (Automotive and Suppliers),1931,Tokyo,Shuichi Ishibashi,"135,636"
JD.com,"Beijing, China",Retailing,1998,Beijing,Lei Xu,"310,000"
Kinder Morgan,"Houston, Texas",Oil & Gas Operations,1997,"Houston, Texas",Steven J. Kean,"10,529"
AstraZeneca,"Cambridge, United Kingdom",Drugs & Biotechnology,1953,Cambridge,Pascal Soriot MBA,"83,100"
China Evergrande Group,"Shenzhen, China",Construction,2006,Shenzhen,Hai Jun Xia,"123,276"
Toyota Tsusho,"Nagoya, Japan",Trading Companies,1948,Nagoya,Ichiro Kashitani,"64,402"
Toyota Industries,"Kariya, Japan",Consumer Durables,1926,Kariya,Tetsuro Toyoda,"66,947"
Sunac China Holdings,"Tianjin, China",Construction,2003,Tianjin,Meng De Wang,"64,436"
Synchrony Financial,"Stamford, Connecticut",Banking and Financial Services,2003,"Stamford, Connecticut",Brian Doubles,"18,000"
Hengli Petrochemical,"Dalian, China",Capital Goods,1999,Dalian,Hong Wei Fan,"35,650"
Henkel,"Dusseldorf, Germany",Packaged Goods,1876,Dusseldorf,Carsten Knobel,"52,450"
Recruit Holdings ,"Tokyo, Japan",Business Services & Supplies,1960,Tokyo,Hisayuki Idekoba,"46,800"
Xcel Energy,"Minneapolis, Minnesota",Utilities,1909,"Minneapolis, Minnesota",Robert Frenzel,"11,321"
MediaTek,"Hsinchu, Taiwan",Semiconductors,1997,Hsinchu,Li Hsing Tsai,
Corteva,"Wilmington, Delaware","Construction, Oil & Gas Operations, Mining and Chemicals",2019,"Wilmington, Delaware",Chuck Magro,"21,000"
Naturgy Energy Group,"Barcelona, Spain",Oil & Gas Operations,1843,Barcelona,Francisco Miguel Reynés Massanet,"7,366"
Waste Management,"Brampton, Ontario",Utilities,1971,"Brampton, Ontario",Jim Fish,"3,000"
Norilsk Nickel,"Moscow, Russia",Materials,1993,Moscow,Vladimir Olegovich Potanin,
Standard Bank Group,"Johannesburg, South Africa",Banking,1862,Johannesburg,Simpiwe Kenneth Tshabalala,"49,224"
Naspers,"Cape Town, South Africa",Media,1915,Cape Town,Robert van Dijk,"28,445"
Grupo Mexico,"Mexico City, Mexico",Materials,1942,Mexico City,Germán Larrea Mota-Velasco,"29,707"
D.R. Horton,"Arlington, Texas",Construction,1978,"Arlington, Texas",David V. Auld,"11,788"
L3Harris Technologies,"Melbourne, Florida",Aerospace & Defense,2019,"Melbourne, Florida",Christopher Eugene Kubasik,"47,000"
TC Energy,"Calgary, Canada",Oil & Gas Operations,1951,Calgary,Francois L. Poirier,"7,017"
Fortum,"Espoo, Finland",Utilities,1998,Espoo,Markus Erdem Rauramo,"19,140"
Michelin Group,"Clermont-Ferrand, France",Automotive (Automotive and Suppliers),1889,Clermont-Ferrand,Florent Menegaux,"124,000"
Principal Financial Group,"Des Moines, Iowa",Banking and Financial Services,1879,"Des Moines, Iowa",Daniel J. Houston,"10,500"
Adidas,"Herzogenaurach, Germany","Clothing, Shoes, Sports Equipment",1949,Herzogenaurach,Kasper Bo Rørsted,"61,401"
Fairfax Financial,"Toronto, Canada",Insurance,1951,Toronto,Vivian Prem Watsa,"39,040"
CNH Industrial,"London, United Kingdom",Capital Goods,1996,London,Scott Wellington Wine,"71,895"
National Bank of Canada,"Montreal, Canada",Banking and Financial Services,1859,Montreal,Laurent Ferreira,"25,487"
The Estée Lauder Companies,"New York, New York",Packaged Goods,1946,"New York, New York",Fabrizio Freda,"62,000"
Axis Bank,"Mumbai, India",Banking,1993,Mumbai,Amitabh Chaudhry MBA,"78,307"
Imperial Brands,"Bristol, United Kingdom","Food, Drink & Tobacco",1901,Bristol,Stefan Bomhard,"30,300"
General Mills,"Minneapolis, Minnesota","Food, Soft Beverages, Alcohol & Tobacco",1866,"Minneapolis, Minnesota",Jeffrey L. Harmening,"15,000"
DNB Bank,"Oslo, Norway",Banking,2003,Oslo,Kjerstin Elisabeth Braathen,"9,659"
Emerson Electric,"St. Louis, Missouri","Engineering, Manufacturing",1890,"St. Louis, Missouri",Lal Karsanbhai,"86,700"
China Yangtze Power,"Beijing, China",Utilities,2002,Beijing,Guo Qing Chen,"4,036"
Sempra,"San Diego, California",Oil & Gas Operations,1998,"San Diego, California",Jeffrey W. Martin,"20,000"
Keurig Dr Pepper,"Plano, Texas","Food, Soft Beverages, Alcohol & Tobacco",2018,"Plano, Texas",Robert James Gamgort,"21,500"
Philips,"Amsterdam, Netherlands",Health Care Equipment & Services,1891,Amsterdam,Frans van Houten,"78,000"
Bank of Nanjing,"Nanjing, China",Banking,1996,Nanjing,Sheng Rong Hu,"13,592"
Canon,"Tokyo, Japan","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1937,Tokyo,Fujio Mitarai,"184,034"
Lennar,"Miami, Florida",Construction,1954,"Miami, Florida",Rick Beckwitt Jon Jaffe,"10,753"
Ericsson,"Kista, Sweden",Technology Hardware & Equipment,1876,Kista,Erik Börje Ekholm,"101,322"
Aegon,"The Hague, Netherlands",Insurance,1844,The Hague,Eilard Friese,"22,271"
RWE Group,"Essen, Germany",Utilities,1898,Essen,Markus Krebber,"18,246"
Daikin Industries,"Osaka, Japan",Capital Goods,1924,Osaka,Masanori Togawa,"84,870"
Baidu,"Beijing, China",IT Software & Services,2000,Beijing,Yan Hong Li,"45,500"
Boeing,"Winnipeg, Manitoba",Aerospace & Defense,1916,"Winnipeg, Manitoba",David L. Calhoun,"1,500"
Greenland Holdings Group,"Shanghai, China",Construction,Shanghai,China,"86,251",
Novatek,"Moscow, Russia",Oil & Gas Operations,1994,Moscow,Leonid Viktorovich Mikhelson,
CTBC Financial,"Taipei, Taiwan",Banking,1966,Taipei,Yi Kuei Wu,"21,159"
BT Group,"London, United Kingdom",Telecommunications Services,2001,London,Philip Eric Rene,"99,700"
Etisalat,"Abu Dhabi, United Arab Emirates",Telecommunications Services,1976,Abu Dhabi,Hatem Mohamed Galal Ahmed Dowidar,
BAE Systems,"London, United Kingdom",Aerospace & Defense,1999,London,Charles Nicolas Woodburn,"90,500"
Tata Steel,"Mumbai, India",Materials,1907,Mumbai,Thachat Viswanath Narendran,"73,962"
Nissan Motor,"Yokohama, Japan",Automotive (Automotive and Suppliers),1933,Yokohama,Makoto Uchida,"132,324"
Heineken,"Amsterdam, Netherlands","Food, Drink & Tobacco",1864,Amsterdam,Jean-François M. L. van Boxmeer,"84,394"
Norfolk Southern,"Atlanta, Georgia",Transportation,1883,"Atlanta, Georgia",Alan H. Shaw,"18,100"
Nokia,"Espoo, Finland","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1865,Espoo,Pekka Ilmari Lundmark,"92,040"
Jardine Matheson,"Hamilton, Bermuda",Conglomerates,1832,Hamilton,John Raymond Witt,"400,000"
Mitsubishi Electric,"Tokyo, Japan",Capital Goods,1921,Tokyo,Takeshi Sugiyama,"145,653"
Canadian National Railway,"Montreal, Canada",Transportation and Logistics,1832,Montreal,Tracy A. Robinson,"24,381"
Saudi Telecom,"Riyadh, Saudi Arabia",Telecommunications Services,1998,Riyadh,Olayan Mohammed Al-Wetaid,
JBS,"Vila Jaguara, Brazil","Food, Drink & Tobacco",1953,Vila Jaguara,Gilberto Tomazoni,"250,000"
Stryker,"Kalamazoo, Michigan",Health Care Equipment & Services,1941,"Kalamazoo, Michigan",Kevin A. Lobo,"24,000"
SK,"Seoul, South Korea",Oil & Gas Operations,1962,Seoul,"Tae-Won Chey, Dong-Hyun Jang","4,448"
Haier Smart Home,"Qingdao, China",Consumer Durables,1984,Qingdao,Hua Gang Li,"104,874"
Sampo,"Helsinki, Finland",Insurance,1909,Helsinki,Torbjörn Magnusson,"13,340"
Wanhua Chemical Group,"Yantai, China",Chemicals,1998,Yantai,Guang Wu Kou,"19,692"
China Merchants Shekou Industrial Zone Holdings,"Shenzhen, China",Construction,Shenzhen,China,"54,735",
Sun Hung Kai Properties,"Hong Kong, Hong Kong",Construction,1963,Hong Kong,Ping Luen Kwok,"38,500"
Johnson Controls International,"Cork, Ireland",Business Services & Supplies,1960,Cork,George R. Oliver,"101,000"
Pioneer Natural Resources,"Irving, Texas",Oil & Gas Operations,1997,"Irving, Texas",Scott Douglas Sheffield,"1,932"
Bank Of Shanghai,"Shanghai, China",Banking,1995,Shanghai,Youlian Hu,"12,932"
Swiss Life Holding,"Zurich, Switzerland",Insurance,1857,Zurich,Patrick Frost,"10,219"
Sompo,"Tokyo, Japan",Insurance,2010,Tokyo,Kengo Sakurada,"48,115"
American Tower,"Boston, Massachusetts",Diversified Financials,1995,"Boston, Massachusetts",Thomas A. Bartlett,"6,378"
OMV Group,"Vienna, Austria",Oil & Gas Operations,1956,Vienna,Alfred Stern,"22,434"
Tata Consultancy Services,"Mumbai, India",Professional Services,1968,Mumbai,Rajesh Gopinathan,"528,746"
ENEOS Holdings,"Tokyo, Japan",Oil & Gas Operations,2010,Tokyo,Tsutomu Sugimori,"40,753"
Shin-Etsu Chemical,"Tokyo, Japan",Chemicals,1926,Tokyo,Chihiro Kanagawa,"24,069"
Power Construction Corporation of China,"Beijing, China",Construction,2009,Beijing,Hong Shui Sun,"132,125"
Eaton,"Dublin, Ireland","Engineering, Manufacturing",1911,Dublin,Craig Arnold,"85,947"
Regeneron Pharmaceuticals,"Tarrytown, New York",Drugs & Biotechnology,1988,"Tarrytown, New York",Leonard S. Schleifer,"8,564"
Al Rajhi Bank,"Riyadh, Saudi Arabia",Banking,1957,Riyadh,Walid bin Abdullah Al-Moqbel,"9,380"
Fiserv,"Brookfield, Wisconsin",Business Services & Supplies,1984,"Brookfield, Wisconsin",Frank J. Bisignano,"44,000"
Woolworths,"Sydney, Australia",Food Markets,1924,Sydney,Bradford Banducci,"210,067"
Anhui Conch Cement,"Wuhu City, China",Construction,1997,Wuhu City,Qun Feng Li,"46,714"
State Street,"Boston, Massachusetts",Diversified Financials,1792,"Boston, Massachusetts",Ronald Philip O'Hanley III,"38,784"
Hartford Financial Services,"Hartford, Connecticut",Insurance,1810,"Hartford, Connecticut",Christopher J. Swift,"18,100"
Adobe,"San Jose, California","IT, Internet, Software & Services",1982,"San Jose, California",Shantanu Narayen,"13,513"
China Railway Construction,"Beijing, China",Construction,1948,Beijing,Shao Jun Huang,"267,760"
Danske Bank,"Copenhagen, Denmark",Banking,1871,Copenhagen,Carsten Rasch Egeriis,"21,754"
Moderna,"Cambridge, Massachusetts",Drugs & Biotechnology,2010,"Cambridge, Massachusetts",Stéphane Bancel,"2,700"
Fortescue Metals Group,"East Perth, Australia",Materials,2003,East Perth,Elizabeth Anne Gaines,"10,164"
Japan Tobacco,"Tokyo, Japan","Food, Drink & Tobacco",1985,Tokyo,Masamichi Terabatake,"55,381"
CSX,"Jacksonville, Florida",Transportation,1827,"Jacksonville, Florida",James M. Foote,"20,900"
United Overseas Bank,"Singapore, Singapore",Banking,1935,Singapore,Ee Cheong Wee,"24,346"
China Unicom,"Hong Kong, Hong Kong",Telecommunications Services,2000,Hong Kong,Lie Hong Liu,"242,497"
Valero Energy,"San Antonio, Texas",Oil & Gas Operations,1980,"San Antonio, Texas",Joseph W. Gorder,"9,813"
Freddie Mac,"McLean, Virginia",Business Services & Supplies,1970,"McLean, Virginia",Michael J. DeVito,"7,318"
Poste Italiane,"Rome, Italy",Insurance,1925,Rome,Matteo del Fante,"122,665"
Hewlett Packard Enterprise,"San Jose, California","IT, Internet, Software & Services",2015,"San Jose, California",Antonio Neri,"60,400"
Wilmar International,"Singapore, Singapore","Food, Drink & Tobacco",1991,Singapore,Khoon Hong Kuok,"100,000"
Indian Oil,"New Delhi, India",Oil & Gas Operations,1959,New Delhi,Sanjiv Singh,"31,648"
Kraft Heinz Company,"Chicago, Illinois","Food, Soft Beverages, Alcohol & Tobacco",2015,"Chicago, Illinois",Miguel Patricio,"36,000"
Gree Electric Appliances,"Zhuhai, China",Consumer Durables,1991,Zhuhai,Hui Huang,"83,952"
Dollar General,"Goodlettsville, Tennessee",Retail and Wholesale,1939,"Goodlettsville, Tennessee",Todd Vasos,"157,000"
Bank Of Jiangsu,"Nanjing, China",Banking,2007,Nanjing,Ming Ji,"15,363"
Bank of Beijing,"Beijing, China",Banking,1995,Beijing,Yan Bingzhu,"15,490"
DuPont de Nemours,"Wilmington, Delaware",Chemicals,1897,"Wilmington, Delaware",Edward D. Breen,"28,000"
Standard Chartered,"London, United Kingdom",Banking,1969,London,William Thomas Winters,"81,957"
Paramount,"New York, New York",Media,2019,"New York, New York",Bob Bakish,"22,965"
Texas Instruments,"Dallas, Texas","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1930,"Dallas, Texas",Richard (Rich) K. Templeton,"31,000"
CRH,"Rathfarnham, Ireland",Construction,1970,Rathfarnham,Albert Jude Manifold,"77,400"
BCE,"Verdun, Canada",Telecommunications Services,1970,Verdun,Mirko Bibic,"49,781"
First Abu Dhabi Bank,"Abu Dhabi, United Arab Emirates",Banking,1968,Abu Dhabi,Hana Al-Rostamani,
Citic Securities,"Shenzhen, China",Diversified Financials,1995,Shenzhen,Federico Bazzoni,"23,696"
Schlumberger,"Houston, Texas",Oil & Gas Operations,1926,"Houston, Texas",Olivier Le Peuch,"92,000"
Bank Rakyat Indonesia (BRI),"Jakarta, Indonesia",Banking,1895,Jakarta,Sunarso,"79,398"
MS&AD Insurance,"Tokyo, Japan",Insurance,2008,Tokyo,Noriyuki Hara,"41,501"
Orix,"Tokyo, Japan",Business Services & Supplies,1964,Tokyo,Makoto Inoue,"33,153"
Panasonic,"Osaka, Japan",Consumer Durables,1918,Osaka,Yuki Kusumi,"243,540"
Fresenius,"Bad Homburg, Germany",Health Care Equipment & Services,1912,Bad Homburg,Stephan Sturm,"316,078"
Ameriprise Financial,"Minneapolis, Minnesota",Diversified Financials,1894,"Minneapolis, Minnesota",James Michael Cracchiolo,"12,000"
Becton Dickinson,"Franklin Lakes, New Jersey",Health Care Equipment & Services,1897,"Franklin Lakes, New Jersey",Tom Polen,"75,000"
Huaxia Bank,"Beijing, China",Banking,1992,Beijing,Jian Hua Zhang,"39,748"
Couche Tard,"Laval, Canada",Food Markets,1980,Laval,Brian P. Hannasch,"124,000"
Fannie Mae,"Washington, District of Columbia",Business Services & Supplies,1938,"Washington, District of Columbia",David C. Benson,"7,400"
Marsh & McLennan,"New York, New York",Professional Services,1905,"New York, New York",Daniel S. Glaser,"76,000"
NN Group,"The Hague, Netherlands",Insurance,1845,The Hague,David Knibbe,"15,417"
LG Chem,"Seoul, South Korea",Chemicals,1947,Seoul,Hak Cheol Shin,"12,561"
Discover Financial Services,"Riverwoods, Illinois",Banking and Financial Services,1985,"Riverwoods, Illinois",Roger C. Hochschild,"16,700"
Nippon Steel ,"Tokyo, Japan",Materials,1950,Tokyo,Shoji Muneoka,"106,226"
Saudi Electricity,"Riyadh, Saudi Arabia",Utilities,2000,Riyadh,Fahad bin Hussein Al-Sudairi,
Zijin Mining Group,"Longyan, China",Materials,1986,Longyan,Jing He Chen,"43,876"
Richemont,"Bellevue, Switzerland",Retailing,1988,Bellevue,Jérôme Lambert,"34,760"
The Saudi National Bank,"Riyadh, Saudi Arabia",Banking,1953,Riyadh,Saeed bin Mohammed Al-Ghamdi,"16,113"
Kering,"Paris, France",Household & Personal Products,1963,Paris,François Jean Henri Pinault,"38,000"
Danone,"Paris, France","Food, Drink & Tobacco",1919,Paris,Antoine Bernard de Saint-Affrique,"98,105"
Holcim,"Zug, Switzerland",Construction,1912,Zug,Jan Philipp Jenisch,"69,672"
Daimler Truck Holding,"Leinfelden-Echterdingen, Germany",Transportation,Leinfelden-Echterdingen,Germany,,
Sumitomo,"Tokyo, Japan",Trading Companies,1952,Tokyo,Masayuki Hyodo,"74,920"
Repsol ,"Madrid, Spain",Oil & Gas Operations,1987,Madrid,Josu Jon Imaz San Miguel,"23,900"
Applied Materials,"Santa Clara, California","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1967,"Santa Clara, California",Gary E. Dickerson,"27,000"
Tyson Foods,"Springdale, Arkansas","Food, Soft Beverages, Alcohol & Tobacco",1935,"Springdale, Arkansas",Donnie King,"120,000"
Altria Group,"Richmond, Virginia","Food, Soft Beverages, Alcohol & Tobacco",1919,"Richmond, Virginia",Billy Gifford,"6,000"
CNP Assurances,"Paris, France",Insurance,1987,Paris,Stéphane Dedeyan,"5,591"
Automatic Data Processing,"Roseland, New Jersey",Business Services & Supplies,1949,"Roseland, New Jersey",Carlos Rodriguez,"56,000"
Phillips 66,"Houston, Texas",Oil & Gas Operations,2012,"Houston, Texas",Greg C. Garland,"14,000"
EOG Resources,"Houston, Texas",Oil & Gas Operations,1985,"Houston, Texas",Ezra Y. Yacob,"2,800"
Swiss Re ,"Zurich, Switzerland",Insurance,1863,Zurich,Christian Mumenthaler,"13,985"
Marubeni,"Tokyo, Japan",Trading Companies,1858,Tokyo,Masumi Kakinoki,"45,470"
Macquarie Group,"Sydney, Australia",Diversified Financials,1985,Sydney,Shemara Wikramanayake,"16,459"
KBC Group,"Brussels, Belgium",Banking,1935,Brussels,Johan Thijs,"37,194"
BOE Technology Group,"Beijing, China",Technology Hardware & Equipment,1993,Beijing,Yan Shun Chen,"79,461"
American Electric,"Columbus, Ohio",Utilities,1906,"Columbus, Ohio",Nicholas K. Akins,"16,688"
Blackstone,"New York, New York",Diversified Financials,1985,"New York, New York",Stephen Allen Schwarzman,"3,795"
Tesco,"Welwyn Garden City, United Kingdom",Food Markets,1947,Welwyn Garden City,Ken Murphy,"361,771"
Inditex,"A Coruña, Spain",Retailing,1963,A Coruña,Oscar García Maceiras,"165,042"
IntercontinentalExchange,"Atlanta, Georgia",Diversified Financials,2000,"Atlanta, Georgia",Jeffrey Craig Sprecher,"8,858"
EssilorLuxottica,"Charenton-le-Pont, France",Health Care Equipment & Services,2018,Charenton-le-Pont,Francesco Milleri,"182,684"
TJX Cos,"Framingham, Massachusetts",Retailing,1976,"Framingham, Massachusetts",Ernie L. Herrman,"340,000"
Nucor,"Charlotte, North Carolina","Engineering, Manufacturing",1905,"Charlotte, North Carolina",Leon J. Topalian,"29,000"
UniCredit,"Milan, Italy",Banking,1999,Milan,Andrea Orcel,"87,165"
Starbucks,"Seattle, Washington",Restaurants,1971,"Seattle, Washington",Howard Schultz,"245,000"
Contemporary Amperex Technology,"Ningde, China",Capital Goods,2011,Ningde,Jia Zhou,"49,295"
Bank of Ningbo,"Ningbo, China",Banking,1997,Ningbo,Meng Bo Luo,"24,177"
Kweichow Moutai,"Renhuai, China","Food, Drink & Tobacco",1999,Renhuai,Jing Ren Li,"29,971"
AmerisourceBergen,"Chesterbrook, Pennsylvania",Retail and Wholesale,1969,"Chesterbrook, Pennsylvania",Steven H. Collis,"16,800"
Ecopetrol,"Bogota, Colombia",Oil & Gas Operations,1948,Bogota,Jaime Eduardo Caballero Uribe,"15,000"
LyondellBasell Industries,"London, United Kingdom",Chemicals,2007,London,Kenneth T. Lane,"19,100"
Xiaomi  ,"Beijing, China",Technology Hardware & Equipment,2010,Beijing,Jun Lei,"33,427"
Baoshan Iron & Steel,"Shanghai, China",Materials,2000,Shanghai,Angui Hou,"47,710"
Kroger,"Cincinnati, Ohio",Retail and Wholesale,1883,"Cincinnati, Ohio",W. Rodney McMullen,"420,000"
Royal Ahold Delhaize N.V.,"Zaandam, Netherlands",Food Markets,2016,Zaandam,Frans Willem Henri Muller,"259,000"
Diageo,"London, United Kingdom","Food, Soft Beverages, Alcohol & Tobacco",1997,London,Ivan M. Menezes,"27,783"
Novo Nordisk,"Bagsværd, Denmark",Drugs & Biotechnology,1989,Bagsværd,Lars Fruergaard Jørgensen,"47,792"
Posco,"Seoul, South Korea",Materials,1968,Seoul,"In-Hwa Chang, Jeong-Woo Choi","18,247"
Dominion Energy,"Richmond, Virginia",Utilities,1983,"Richmond, Virginia",Robert M. Blue,"17,100"
KIA,"Seoul, South Korea",Automotive (Automotive and Suppliers),1992,Seoul,"Jun-Young Choi, Han-Woo Park","35,501"
Investor AB,"Stockholm, Sweden",Diversified Financials,1916,Stockholm,Johan Patrik Lennart Forssell,"20,054"
Saint-Gobain,"Courbevoie, France","Engineering, Manufacturing",1665,Courbevoie,Benoît Bazin,"167,816"
ASML Holding,"Veldhoven, Netherlands",Semiconductors,1984,Veldhoven,Peter T. F. M Wennink,"29,861"
Shinhan Financial Group,"Seoul, South Korea",Diversified Financials,2001,Seoul,Yong-Byoung Cho,172
National Grid,"London, United Kingdom",Utilities,1990,London,John Mark Pettigrew,"23,683"
McKesson,"Irving, Texas",Health Care Equipment & Services,1833,"Irving, Texas",Brian S. Tyler,"32,000"
Volvo Group,"Gothenburg, Sweden",Consumer Durables,1927,Gothenburg,Martin Lundstedt,"95,850"
Nutrien,"Saskatoon, Canada",Chemicals,2017,Saskatoon,Kenneth A. Seitz,"23,500"
Occidental Petroleum,"Houston, Texas",Oil & Gas Operations,1920,"Houston, Texas",Vicki A. Hollub,"11,678"
Freeport-McMoRan,"Phoenix, Arizona","Construction, Oil & Gas Operations, Mining and Chemicals",1897,"Phoenix, Arizona",Richard Adkerson,"24,700"
Banco do Brasil,"Brasilia, Brazil",Banking,1808,Brasilia,Fausto de Andrade Ribeiro,"84,597"
HDFC,"Mumbai, India",Business Services & Supplies,1977,Mumbai,Keki M. Mistry,"5,490"
CaixaBank,"Valencia, Spain",Banking,1980,Valencia,Gonzalo Gortázar Rotaeche,"49,762"
"Merck KGaA, Darmstadt, Germany and its affiliates","Darmstadt, Germany",Drugs & Biotechnology,1668,Darmstadt,Belén Garijo López,"60,334"
Centene,"St. Louis, Missouri",Insurance,1984,"St. Louis, Missouri",Sarah London,"80,100"
ABB,"Zurich, Switzerland","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1883,Zurich,Björn Klas Otto Rosengren,"105,000"
Denso,"Kariya, Japan",Automotive (Automotive and Suppliers),1949,Kariya,Koji Arima,"168,391"
Air Liquide,"Paris, France","Construction, Oil & Gas Operations, Mining and Chemicals",1902,Paris,Benoît Potier,"66,436"
Seven & I Holdings,"Tokyo, Japan",Food Markets,2005,Tokyo,Dong Ning Zhang,
Salesforce.com,"San Francisco, California","IT, Internet, Software & Services",1999,"San Francisco, California",Marc Benioff,"40,447"
Bank of New York Mellon,"New York, New York",Banking,1965,"New York, New York",Thomas P. Gibbons,"49,100"
Nordea Bank,"Helsinki, Finland",Banking,1974,Helsinki,Frank Vang-Jensen,"26,894"
Suncor Energy,"Calgary, Canada","Construction, Oil & Gas Operations, Mining and Chemicals",1967,Calgary,Mark S. Little,"12,591"
China Railway Group,"Beijing, China",Construction,2007,Beijing,Zong Yan Zhang,"294,013"
Mastercard,"Purchase, New York",Banking and Financial Services,1966,"Purchase, New York",Michael Miebach,"15,600"
KB Financial Group,"Seoul, South Korea",Banking,1963,Seoul,Jong-Kyoo Yoon,164
Country Garden Holdings,"Foshan, China",Construction,1992,Foshan,Tzar Kuoi Li,"131,387"
Bayer ,"Leverkusen, Germany",Drugs & Biotechnology,1863,Leverkusen,Werner Baumann,"99,637"
NextEra Energy,"Juno Beach, Florida",Utilities,1984,"Juno Beach, Florida",James L. Robo,"14,900"
